IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
158.101.204.223,443,443,true,FRA,Europe,DE,Frankfurt,274,2.47
138.2.163.253,443,443,true,FRA,Europe,DE,Frankfurt,253,2.33
130.162.189.50,443,443,true,FRA,Europe,DE,Frankfurt,285,2.32
94.142.137.72,443,443,true,AMS,Europe,NL,Amsterdam,177,2.30
94.177.8.43,443,443,true,VIE,Europe,AT,Vienna,266,2.28
185.114.77.159,443,443,true,SJC,North America,US,San Jose,192,2.26
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,289,2.26
193.123.60.235,443,443,true,FRA,Europe,DE,Frankfurt,294,2.21
141.144.205.37,443,443,true,FRA,Europe,DE,Frankfurt,294,2.13
185.247.141.10,443,443,true,ARN,Europe,SE,Stockholm,229,2.11
141.147.84.222,443,443,true,FRA,Europe,DE,Frankfurt,285,2.03
13.53.206.75,443,443,true,CPH,Europe,DK,Copenhagen,189,1.98
43.130.99.209,443,443,true,IAD,North America,US,Ashburn,241,1.93
94.177.8.50,443,443,true,VIE,Europe,AT,Vienna,278,1.92
45.144.234.149,443,443,true,HEL,Europe,FI,Helsinki,209,1.86
